OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
2968,301692,US,OR,41.0,43.0,41043.0,8,A,Albany,0.0,-123.103299968814,44.6297817056739
3169,301777,US,OR,41.0,39.0,41039.0,8,A,Eugene,0.0,-123.090112705833,44.0550289113956
4002,301928,US,OR,41.0,47.0,41047.0,8,A,Salem,0.0,-123.027895849192,44.9323549286566
4860,302469,US,WA,53.0,41.0,53041.0,8,A,Centralia,0.0,-122.952406100361,46.7179009657501
5350,302704,US,WA,53.0,15.0,53015.0,8,A,Kelso-Longview,0.0,-122.913414095735,46.1423505166146
6515,303206,US,OR,41.0,67.0,41067.0,8,C,Beaverton TC WES Station,0.0,-122.800918121214,45.4909379698714
6547,303232,US,WA,53.0,67.0,53067.0,8,A,Olympia/Lacey,0.0,-122.794142027516,46.9915740520724
7071,303629,US,OR,41.0,67.0,41067.0,8,C,Tualatin WES Station,0.0,-122.764438601131,45.383628165365
8883,304598,US,WA,53.0,11.0,53011.0,8,A,"Vancouver, Washington",0.0,-122.687791038883,45.6278563134234
9223,304834,US,OR,41.0,51.0,41051.0,8,A,Portland,0.0,-122.676309100806,45.5293596532855
9583,497443,US,CA,6.0,97.0,6097.0,7,C,Petaluma Downtown,0.0,-122.634778273931,38.2372889335292
9840,497444,US,CA,6.0,41.0,6041.0,7,C,San Rafael,0.0,-122.522792590102,37.971879276137
9882,305340,US,WA,53.0,73.0,53073.0,8,A,Bellingham,0.0,-122.509027031267,48.721509451924
10375,305679,US,WA,53.0,53.0,53053.0,8,C,Tacoma,0.0,-122.425335157242,47.2396641911499
10436,305737,US,WA,53.0,53.0,53053.0,8,A,Tacoma,0.0,-122.420555363549,47.2421476279207
10680,305976,US,CA,6.0,81.0,6081.0,7,C,South San Francisco,0.0,-122.404278558947,37.6566177069687
10837,306128,US,CA,6.0,75.0,6075.0,7,C,San Francisco,0.0,-122.395120630783,37.7766576693206
10877,306167,US,CA,6.0,75.0,6075.0,7,C,22nd Street,0.0,-122.392475443512,37.7577130391493
10964,306254,US,WA,53.0,61.0,53061.0,8,B,Edmonds,0.0,-122.390005256144,47.806928518666
11865,307145,US,CA,6.0,81.0,6081.0,7,C,Broadway,0.0,-122.361969522439,37.5873239440011
12145,307417,US,CA,6.0,81.0,6081.0,7,C,Burlingame,0.0,-122.344896586815,37.5801329333033
12541,307812,US,WA,53.0,33.0,53033.0,8,B,Seattle,0.0,-122.329278574304,47.5984796263526
12660,307930,US,CA,6.0,81.0,6081.0,7,C,San Mateo,0.0,-122.323624163782,37.5679354693863
12921,308168,US,WA,53.0,61.0,53061.0,8,C,Mukilteo,0.0,-122.30177931269,47.94821861363
12935,308180,US,CA,6.0,1.0,6001.0,7,A,Berkeley,0.0,-122.300868783013,37.866953252351
12990,308231,US,WA,53.0,53.0,53053.0,8,C,Puyallup,0.0,-122.295749965132,47.1927464476705
13341,308520,US,CA,6.0,81.0,6081.0,7,C,Belmont,0.0,-122.276300442999,37.5213143889173
13393,308564,US,CA,6.0,93.0,6093.0,7,A,Dunsmuir,0.0,-122.270312705405,41.2113623227443
13551,308671,US,CA,6.0,81.0,6081.0,7,C,San Carlos,0.0,-122.259759640603,37.5076500958691
13800,308915,US,WA,53.0,53.0,53053.0,8,C,Sumner,0.0,-122.244702458002,47.2014376155264
14090,309201,US,WA,53.0,33.0,53033.0,8,C,Kent,0.0,-122.233121031508,47.3845905958072
14122,309233,US,CA,6.0,81.0,6081.0,7,C,Redwood City,0.0,-122.231537567563,37.4858865929726
14461,309569,US,WA,53.0,61.0,53061.0,8,B,Everett,0.0,-122.198189878191,47.9774538844774
14465,309572,US,CA,6.0,81.0,6081.0,7,C,Atherton,0.0,-122.197230441535,37.4642678897974
14679,309768,US,CA,6.0,81.0,6081.0,7,C,Menlo Park,0.0,-122.182453265604,37.4549040260789
14787,309862,US,CA,6.0,85.0,6085.0,7,C,Palo Alto,0.0,-122.164999781168,37.4436586084548
